district,avg_rainfall
Adilabad,5.215496048825268
Bhadradri Kothagudem,4.147478496349462
Hyderabad,2.5107333437661294
Jagitial,5.329786213451613
Jagtial,1.3428396096774193
Jangaon,2.2304710935483874
Jangoan,3.515211026841642
Jayashankar Bhupalapally,4.7177979212043
Jogulamba Gadwal,1.9629297892983872
Kamareddy,3.843239338034946
Karimnagar,3.6875027662096773
Khammam,3.1009672925107528
Kumuram Bheem,1.1852737967741933
Kumuram Bheem Asifabad,5.659891164457478
Mahabubabad,4.090039062986559
Mahabubnagar,2.759623367879032
Mancherial,5.375154683198924
Medak,3.3229829087876346
Medchal Malkajgiri,2.6567271961524925
Medchal-Malkajgiri,2.2136162129032253
Mulugu,4.738447395387097
Nagarkurnool,2.33214720897957
Nalgonda,2.205689391263441
Narayanpet,2.5407974280564516
Nirmal,5.52050768364516
Nizamabad,4.717082726295699
Peddapalli,3.8767196873924736
Rajanna Sircilla,4.1902722215835775
Ranga Reddy,2.420502318595308
Rangareddy,2.7172686129032257
Ranjanna Sircilla,2.036391322580645
Sangareddy,2.945654971862903
Siddipet,3.382049545215054
Suryapet,2.778161058884409
Vikarabad,2.980190185077957
Wanaparthy,2.2248201009462365
Warangal (Rural),1.894023387096774
Warangal (Urban),1.846717841935484
Warangal Rural,4.416141864214077
Warangal Urban,3.2725836586686214
Yadadri Bhuvanagiri,3.034904731185484
